"lang"
{
	"Language"		"English"
"DOTA_Tooltip_Ability_keymaster_howl_abilitycastrange"				"RADIUS:"
"DOTA_Tooltip_Ability_keymaster_howl_stun_duration"					"STUN DURATION:"
"DOTA_Tooltip_Ability_keymaster_howl_silence_duration"				"SILENCE DURATION:"

"DOTA_Tooltip_modifier_keymaster_howl_silence"						"Master Howl Silence"
"DOTA_Tooltip_modifier_keymaster_howl_stun"							"Master Howl Stun"

"DOTA_Tooltip_Ability_keymaster_bite"								"Master Bite"
"DOTA_Tooltip_Ability_keymaster_bite_Description"					"Bite selected target, dealing massive damage, and killing unit when him health less than thresshold. Decreasing target armor and outcoming damage."
"DOTA_Tooltip_Ability_keymaster_bite_damage"						"DAMAGE:"
"DOTA_Tooltip_Ability_keymaster_bite_kill_limit_pct"				"%DAMAGE THRESSHOLD:"
"DOTA_Tooltip_Ability_keymaster_bite_disarmor"						"ARMOR DECREASE:"
"DOTA_Tooltip_Ability_keymaster_bite_damage_reduction"				"%DAMAGE REDUCING:"
"DOTA_Tooltip_Ability_keymaster_bite_debuff_duration"				"DEBUFF DURATION:"

"DOTA_Tooltip_modifier_keymaster_bite"								"Master Wound"

"DOTA_Tooltip_Ability_keymaster_shadow_support"						"Master in Shadows"
"DOTA_Tooltip_Ability_keymaster_shadow_support_Description"			"Keymaster is returning incoming damage as pure."
"DOTA_Tooltip_Ability_keymaster_shadow_support_return_damage"		"%DAMAGE RETURN:"
"DOTA_Tooltip_Ability_keymaster_shadow_support_duration"			"DURATION:"

"DOTA_Tooltip_modifier_keymaster_shadow_support"					"Master damage return"

"DOTA_Tooltip_Ability_keymaster_damned_souls"						"Master Damned Souls"
"DOTA_Tooltip_Ability_keymaster_damned_souls_Description"			"After cast Keymaster starts launch energy projectiles into nearby enemy that deal damage and decreasing target attack speed."
"DOTA_Tooltip_Ability_keymaster_damned_souls_abilitycastrange"		"RADIUS:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_interval"				"PROJECTILE INTERVAL:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_soul_count"			"PROJECTILE COUNT:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_projectile_speed"		"PROJECTILE SPEED:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_damage"				"DAMAGE:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_damage_from_lost_hp"	"DAMAGE FROM MISSING HEALTH:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_attack_speed_debuff"	"ATTACK SPEED SLOW:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_debuff_duration"		"DEBUFF DURATION:"

"DOTA_Tooltip_modifier_keymaster_damned_souls"						"Master Damned Souls"
"DOTA_Tooltip_modifier_keymaster_damned_souls_debuff"				"Masted Damned Souls Debuff"

"DOTA_Tooltip_Ability_keymaster_interception"						"Master Interception"
"DOTA_Tooltip_Ability_keymaster_interception_Description"			"Keymaster starts regenerate. Regenerations is decreased by another heroes around Keymaster."
"DOTA_Tooltip_Ability_keymaster_interception_abilitycastrange"		"RADIUS:"
"DOTA_Tooltip_Ability_keymaster_interception_duration"				"DURATION:"
"DOTA_Tooltip_Ability_keymaster_interception_hp_regen_pct"			"%HP REGENERATION:"
"DOTA_Tooltip_Ability_keymaster_interception_hp_regen_decrease"		"%REGENERATION DECREASE PER HERO:"

"DOTA_Tooltip_modifier_keymaster_interception"						"Master Interception"

"DOTA_Tooltip_Ability_keymaster_dodge_mastery"						"Dodge Mastery"
"DOTA_Tooltip_Ability_keymaster_dodge_mastery_Description"			"Boss ignores all damage that was recived from a far range.\Boss increase himself attack speed for every missing health pct."
"DOTA_Tooltip_Ability_keymaster_dodge_mastery_abilitycastrange"		"ALLOW DAMAGE RADIUS:"
"DOTA_Tooltip_Ability_keymaster_dodge_mastery_aspeed_per_hp_pct"	"ATTACK SPEED FOR MISSING HEALTH PERCENT:"

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\keymasters.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\possessed.txt' begin 
"boss_possessed_demon"													"Possessed Demon"
"on_boss_die_possessed"												"Somebody killed the <font color='#58ACFA'>Possessed demon</font>!"

"DOTA_Tooltip_ability_possessed_magma_trails"						"Magma Trails"
"DOTA_Tooltip_ability_possessed_magma_trails_Description"			"Possessed Demon summons hellfire pilliars that deals massive damage after small delay."
"DOTA_Tooltip_ability_possessed_magma_trails_abilitycastrange"		"RADIUS:"
"DOTA_Tooltip_ability_possessed_magma_trails_damage"				"DAMAGE:"
"DOTA_Tooltip_ability_possessed_magma_trails_damage_from_attack"	"%DAMAGE FROM ATTACK:"
"DOTA_Tooltip_ability_possessed_magma_trails_trail_prepare"			"PILLIAR DELAY:"
"DOTA_Tooltip_ability_possessed_magma_trails_trail_radius"			"PILLIAR RADIUS:"

"DOTA_Tooltip_ability_possessed_fallen_sword"						"Sword of the Fallen"
"DOTA_Tooltip_ability_possessed_fallen_sword_Description"			"Possessed Demon deals some damage around attacked target.\nWith chance %chance%%  Possessed Demon deals additional damage with him attack and kill target if target health will be lower then %kill_thresshold%% or applies debuff that decreasing outcoming damage for %damage_reduction%%  for %debuff_duration%  seconds if target was alive."
"DOTA_Tooltip_ability_possessed_fallen_sword_cleave"				"%CLEAVE DAMAGE:"
"DOTA_Tooltip_ability_possessed_fallen_sword_cleave_radius"			"CLEAVE RADIUS:"
"DOTA_Tooltip_modifier_possessed_fallen_sword_debuff"				"Sword of the Fallen debuff"

"DOTA_Tooltip_ability_possessed_rebel"								"Rebel"
"DOTA_Tooltip_ability_possessed_rebel_Description"					"Every attack decrease enemy armor for %disarmor%.\nFor every missed health percent Possessed Demon gets %status_resist_per_hp%%  status resistance."
"DOTA_Tooltip_modifier_possessed_rebel_debuff"						"Rebel disarmor"


"DOTA_Tooltip_ability_possessed_devil_stomp"						"Devil Stomp"
"DOTA_Tooltip_ability_possessed_devil_stomp_Description"			"Possessed Demon stomps the earth, stunning around enemies for %stun_duration% seconds and deal %damage% damage."

"DOTA_Tooltip_ability_possessed_ring_fire"							"Ring of Fire"
"DOTA_Tooltip_ability_possessed_ring_fire_Description"				"Possessed Demon summons two expanding rings of hellfire. Each segment deals %damage_flat% + %damage_pct%% of max health as pure damage and stuns for %stun_duration% seconds."
"DOTA_Tooltip_ability_possessed_ring_fire_damage_flat"				"DAMAGE:"
"DOTA_Tooltip_ability_possessed_ring_fire_damage_pct"				"% OF MAX HEALTH:"
"DOTA_Tooltip_ability_possessed_ring_fire_stun_duration"				"STUN DURATION:"

"DOTA_Tooltip_ability_possessed_infernal_chains"						"Infernal Chains"
"DOTA_Tooltip_ability_possessed_infernal_chains_Description"		"Possessed Demon throws a chain at a random enemy, pulling it closer and dealing %damage_flat% + %damage_pct%% of max health as pure damage."
"DOTA_Tooltip_ability_possessed_infernal_chains_damage_flat"			"DAMAGE:"
"DOTA_Tooltip_ability_possessed_infernal_chains_damage_pct"			"% OF MAX HEALTH:"
"DOTA_Tooltip_ability_possessed_infernal_chains_pull_duration"		"PULL DURATION:"

"DOTA_Tooltip_ability_possessed_doom_leap"							"Doom Leap"
"DOTA_Tooltip_ability_possessed_doom_leap_Description"				"Possessed Demon marks a random enemy and leaps to it, dealing %damage_flat% + %damage_pct%% of max health as pure damage in %aoe% radius and stunning for %stun_duration% seconds."
"DOTA_Tooltip_ability_possessed_doom_leap_damage_flat"				"DAMAGE:"
"DOTA_Tooltip_ability_possessed_doom_leap_damage_pct"				"% OF MAX HEALTH:"
"DOTA_Tooltip_ability_possessed_doom_leap_aoe"						"RADIUS:"
"DOTA_Tooltip_ability_possessed_doom_leap_stun_duration"				"STUN DURATION:"

"DOTA_Tooltip_ability_possessed_mark_of_damned"						"Mark of the Damned"
"DOTA_Tooltip_ability_possessed_mark_of_damned_Description"			"Possessed Demon marks a random enemy. After %mark_duration% seconds the mark explodes, dealing %damage_flat% + %damage_pct%% of max health as pure damage to the target and %splash_pct%% of that damage to enemies in %splash_radius% radius."
"DOTA_Tooltip_ability_possessed_mark_of_damned_damage_flat"			"DAMAGE:"
"DOTA_Tooltip_ability_possessed_mark_of_damned_damage_pct"			"% OF MAX HEALTH:"
"DOTA_Tooltip_ability_possessed_mark_of_damned_splash_radius"		"SPLASH RADIUS:"
"DOTA_Tooltip_ability_possessed_mark_of_damned_splash_pct"			"SPLASH DAMAGE:"
"DOTA_Tooltip_ability_possessed_mark_of_damned_mark_duration"		"MARK DURATION:"

"DOTA_Tooltip_ability_possessed_annihilation"						"Annihilation"
"DOTA_Tooltip_ability_possessed_annihilation_Description"			"Possessed Demon enters the Annihilation phase, increasing all damage dealt by %damage_multiplier%%."

"DOTA_Tooltip_modifier_possessed_annihilation"						"Annihilation"
"DOTA_Tooltip_ability_possessed_devil_stomp_abilitycastrange"		"RADIUS:"

"DOTA_Tooltip_modifier_possessed_devil_stomp"						"Devil Stomp Stun"

"DOTA_Tooltip_ability_possessed_curse"								"Curse"
"DOTA_Tooltip_ability_possessed_curse_Description"					"Possessed Demon curses target, and after %run_duration% deal %penalty_damage_pct%%  damage from max health, and heal Possessed Demon if target is closer than %run_radius%% at start position. Also stuns cursed unit for %penalty_stun% seconds."
"DOTA_Tooltip_modifier_possessed_curse_penalty"						"Curse Penalty"

"DOTA_Tooltip_ability_possessed_hellshield"							"Hellshield"
"DOTA_Tooltip_ability_possessed_hellshield_Description"				"At activation applies effect that return %return_damage%%  back to attacker and block %damage_reduction%%  damage for %duration% seconds."

"DOTA_Tooltip_modifier_possessed_hellshield"						"Hellshield Damage Return"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\possessed.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\soul_guardian.txt' begin 
"npc_aa_soul_guardian"														"Soul Guardian"

"on_boss_die_soul_guardian"													"Somebody killed the <font color='#58ACFA'>Soul Guardian</font>! Anyone can now change their heroes into gods."

"DOTA_Tooltip_Ability_soul_guardian_heroes_ring"							"Rallying Field"
"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_Description"				"Soul Guardian create field in %circle_creation_time% seconds. After delay in %detanation_delay% seconds deal damage to all heroes inside field. Damage depends on hero units inside field( less heroes - more damage )"
"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_circle_radius"				"RADIUS:"
"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_base_damage"				"BASE DAMAGE:"
"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_damage_reduction_per_hero"	"DAMAGE DECRASE PER HERO:"

"DOTA_Tooltip_Ability_soul_guardian_heavy_strike"							"Heavy Strike"
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_Description"				"Stuns main attack target, push away and slow another units around target."
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_circle_knockback_radius"	"PUSH RADIUS:"
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_duration_stun"				"STUN DURATION:"
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_duration_slow"				"SLOW DURATION:"
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_knockback_slow_pct"		"%SLOW:"

"DOTA_Tooltip_modifier_soul_guardian_heavy_strike_stun"						"Stunned"
"DOTA_Tooltip_modifier_soul_guardian_heavy_strike_slow"						"Slowed"

"DOTA_Tooltip_Ability_soul_guardian_pure_heal"								"Pure Heal"
"DOTA_Tooltip_Ability_soul_guardian_pure_heal_Description"					"Soul Guardian heal himself and dispels negative effects."
"DOTA_Tooltip_Ability_soul_guardian_pure_heal_base_heal"					"BASE HEAL:"
"DOTA_Tooltip_Ability_soul_guardian_pure_heal_heal_pct_from_max_hp"			"%HEAL FROM MAX HP:"

"DOTA_Tooltip_Ability_soul_guardian_damage_steal"							"Weakness of Heroes"
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_Description"				"For a %duration% seconds decrasing damage of all around heroes."
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_radius"					"RADIUS:"
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_delay_for_start"			"START DELAY:"
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_damage_per_second_tootip"	"DAMAGE DECREASING:"
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_debuff_duration"			"DURATION:"

"DOTA_Tooltip_modifier_soul_guardian_damage_steal"							"Weakness of Heroes"
"DOTA_Tooltip_modifier_soul_guardian_damage_steal_Description"				"Damage decreased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% ."

"DOTA_Tooltip_Ability_soul_guardian_holy_rage"								"Holy Rage"
"DOTA_Tooltip_Ability_soul_guardian_holy_rage_Description"					"Soul Guardian fall in holy rage, increasing him attack speed and status resistance. Effect is purged after %max_duration% seconds. or after reciving  damage (%damage_for_purge_base% + %damage_for_purge_pct_from_max_hp%%  from max health)."
"DOTA_Tooltip_Ability_soul_guardian_holy_status_resist_pct"					"STATUS RESIST:"
"DOTA_Tooltip_Ability_soul_guardian_holy_rage_attack_speed"					"ATTACK SPEED:"

"DOTA_Tooltip_modifier_soul_guardian_holy_rage"								"Holy Rage"
"DOTA_Tooltip_modifier_soul_guardian_holy_rage_Description"					"Attack speed and status resist is increased. Need to deal %dMODIFIER_PROPERTY_TOOLTIP% damage to purge that effect."


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\soul_guardian.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\traveler.txt' begin 
"npc_boss_travaler"												"Traveler"

"die_npc_boss_travaler"											"Somebody killed the <font color='#58ACFA'>Traveler</font>!"
	
"DOTA_Tooltip_ability_travaler_kraken"							"Traveling Protection"
"DOTA_Tooltip_ability_travaler_kraken_Description"				"Reduces incoming damage and removes negative status effects if the damage taken crosses a threshold."
"DOTA_Tooltip_ability_travaler_kraken_damage_cleanse"			"DAMAGE THRESHOLD:"

"DOTA_Tooltip_ability_travaler_manaburn"						"Mana Burn"
"DOTA_Tooltip_ability_travaler_manaburn_Description"			"Burns an opponent's mana and deals damage on each attack."
"DOTA_Tooltip_ability_travaler_manaburn_mana_per_hit"			"MANA BURNED PER HIT:"

"DOTA_Tooltip_ability_travaler_stun"							"Gates of Worlds"
"DOTA_Tooltip_ability_travaler_stun_Description"				"The Traveler tears the earth three times, each blast covering a larger area. Every blast stuns enemies and deals damage based on their max HP. Move out of the marks to avoid it!"
"DOTA_Tooltip_Ability_travaler_stun_SummaryDescription"			"Telegraphed area stun."
"DOTA_Tooltip_ability_travaler_stun_damage_pct"					"%DAMAGE:"
"DOTA_Tooltip_ability_travaler_stun_duration"					"DURATION:"
"DOTA_Tooltip_ability_travaler_stun_radius"						"RADIUS:"
"DOTA_Tooltip_modifier_travaler_stun"							"STUNNED"

"DOTA_Tooltip_ability_travaler_rift_wall"						"Rift of Dimensions"
"DOTA_Tooltip_ability_travaler_rift_wall_Description"				"The Traveler tears the ground toward a random enemy: a field of 8 rifts erupts in a checkerboard pattern, dealing damage and stunning. Cracks remain after the eruption, damaging anyone standing in them."
"DOTA_Tooltip_Ability_travaler_rift_wall_SummaryDescription"		"Line of exploding rifts."
"DOTA_Tooltip_ability_travaler_rift_wall_damage_pct"				"%DAMAGE:"
"DOTA_Tooltip_ability_travaler_rift_wall_stun_duration"			"STUN DURATION:"

"DOTA_Tooltip_ability_travaler_shift"							"Shift of Worlds"
"DOTA_Tooltip_ability_travaler_shift_Description"				"The Traveler tears reality: enemies far from him are marked and teleported to random places far away from his lair, taking damage and being slowed. The shift repeats in a series of waves."
"DOTA_Tooltip_Ability_travaler_shift_SummaryDescription"			"Series of enemy teleports."

"DOTA_Tooltip_ability_travaler_fury"							"Traveler's Fury"
"DOTA_Tooltip_ability_travaler_fury_Description"				"The Traveler becomes enraged as his health drops.\nBelow 75% he instantly kills illusions that try to attack him and gains 800 attack damage, 250 attack speed, 0.4 BAT and true strike.\nBelow 30% he takes 45% less damage from all attacks."
"DOTA_Tooltip_Ability_travaler_fury_SummaryDescription"			"Enrages as his health drops."

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\traveler.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\!empty.txt' begin 

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\!empty.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\enigma.txt' begin 
"npc_eidolon_1" "Enigma Eidelon"
"npc_eidolon_2" "Enigma Eidelon"
"npc_eidolon_3" "Enigma Eidelon"
"npc_eidolon_4" "Enigma Eidelon"
"npc_eidolon_5" "Enigma Eidelon"
"npc_eidolon_6" "Enigma Eidelon"
"npc_eidolon_7" "Enigma Eidelon"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\enigma.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\lycan.txt' begin 
"npc_dota_lycan_wolf5"												"Lycan Wolf"
"npc_dota_lycan_wolf6"												"Lycan Wolf"
"npc_dota_lycan_wolf7"												"Lycan Wolf"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\lycan.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\pet_hulk.txt' begin 
"npc_aa_ancient_hulk"												"Ancient Hulk"

"DOTA_Tooltip_ability_pet_ancient_hulk_hammer"						"Hulk hammer"
"DOTA_Tooltip_ability_pet_ancient_hulk_hammer_Description"			"Throw a Hammer of Might at the targeted unit, stunning every enemy within the radius. Can be dodged."
"DOTA_Tooltip_ability_pet_ancient_hulk_hammer_bolt_stun_duration"	"STUN:"
"DOTA_Tooltip_ability_pet_ancient_hulk_hammer_bolt_aoe"				"RADIUS:"
"DOTA_Tooltip_modifier_pet_hammer_stun"								"STUNNED"

"DOTA_Tooltip_ability_pet_ancient_hulk_blink"						"Blink"
"DOTA_Tooltip_ability_pet_ancient_hulk_blink_Description"			"Short distance teleportation that allows the pet to move in and out of combat."
"DOTA_Tooltip_ability_pet_ancient_hulk_blink_blink_range"			"RANGE:"

"DOTA_Tooltip_ability_pet_ancient_hulk_invis"						"Shadow Hulk"
"DOTA_Tooltip_ability_pet_ancient_hulk_invis_Description"			"Grants invisibility and increased movespeed."
"DOTA_Tooltip_ability_pet_ancient_hulk_invis_duration"				"DURATION:"
"DOTA_Tooltip_ability_pet_ancient_hulk_invis_bonus_movespeed"		"%MOVE SPEED:"
"DOTA_Tooltip_modifier_pet_hulk_invis"								"INVISIBLE"

"DOTA_Tooltip_ability_pet_ancient_hulk_desolation"					"Hulk Desolation"
"DOTA_Tooltip_ability_pet_ancient_hulk_desolation_Description"		"Attacks reduce the target's armor."
"DOTA_Tooltip_ability_pet_ancient_hulk_desolation_bonus_armor"		"ARMOR:"
