"lang"
{
	"Language"		"Russian"
"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_stun_duration"		"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"DOTA_Tooltip_modifier_abyss_warrior_ethereal_charge"					"Ethernal Charge"
"DOTA_Tooltip_modifier_abyss_warrior_ethereal_charge_stun"				"Ethernal Charge Stun"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\bosses\abyss_warrior.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\bosses\keymasters.txt' begin 
"npc_aa_keymaster_radiant"											"Keymaster"
"npc_aa_keymaster_dire"												"Keymaster"
"on_boss_die_keymaster"												"<font color='#58ACFA'>Keymaster</font> был убит."

"DOTA_Tooltip_Ability_keymaster_howl"								"Master Howl"
"DOTA_Tooltip_Ability_keymaster_howl_Description"					"Оглушает и запрещает произносить заклинания всем окружающим врагам."
"DOTA_Tooltip_Ability_keymaster_howl_abilitycastrange"				"РАДИУС:"
"DOTA_Tooltip_Ability_keymaster_howl_stun_duration"					"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"DOTA_Tooltip_Ability_keymaster_howl_silence_duration"				"ДЛИТЕЛЬНОСТЬ БЕЗМОЛВИЯ:"

"DOTA_Tooltip_modifier_keymaster_howl_silence"						"Master Howl Silence"
"DOTA_Tooltip_modifier_keymaster_howl_stun"							"Master Howl Stun"

"DOTA_Tooltip_Ability_keymaster_bite"								"Master Bite"
"DOTA_Tooltip_Ability_keymaster_bite_Description"					"Разрывает выбранную цель, нанося ей огромный урон, и если здоровье цели упало ниже предела - убивает ее. Так же снижает броню и наносимый урон в случае если цель выжила."
"DOTA_Tooltip_Ability_keymaster_bite_damage"						"УРОН:"
"DOTA_Tooltip_Ability_keymaster_bite_kill_limit_pct"				"%ПОРОГ УБИЙСТВА:"
"DOTA_Tooltip_Ability_keymaster_bite_disarmor"						"СНИЖЕНИЕ БРОНИ:"
"DOTA_Tooltip_Ability_keymaster_bite_damage_reduction"				"%СНИЖЕНИЕ УРОНА:"
"DOTA_Tooltip_Ability_keymaster_bite_debuff_duration"				"ДЛИТЕЛЬНОСТЬ ОТРИЦАТЕЛЬНОГО ЭФФЕКТА:"

"DOTA_Tooltip_modifier_keymaster_bite"								"Master Wound"

"DOTA_Tooltip_Ability_keymaster_shadow_support"						"Master in Shadows"
"DOTA_Tooltip_Ability_keymaster_shadow_support_Description"			"Keymaster начинает возвращать часть полученного урона в виде чистого урона обратно врагу."
"DOTA_Tooltip_Ability_keymaster_shadow_support_return_damage"		"%ВОЗВРАЩЕНИЕ УРОНА:"
"DOTA_Tooltip_Ability_keymaster_shadow_support_duration"			"ДЛИТЕЛЬНОСТЬ:"

"DOTA_Tooltip_modifier_keymaster_shadow_support"					"Master damage return"

"DOTA_Tooltip_Ability_keymaster_damned_souls"						"Master Damned Souls"
"DOTA_Tooltip_Ability_keymaster_damned_souls_Description"			"После произнесения заклинания Keymaster с небольшим интервалом начинает запускать сгустки энергии в ближайшего врага. При попадании сгусток наносит урон и снижает скорость атаки жертвы."
"DOTA_Tooltip_Ability_keymaster_damned_souls_abilitycastrange"		"РАДИУС:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_interval"				"ИНТЕРВАЛ СНАРЯДОВ:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_soul_count"			"КОЛИЧЕСТВО СНАРЯДОВ:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_projectile_speed"		"СКОРОСТЬ СНАРЯДА:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_damage"				"УРОН:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_damage_from_lost_hp"	"УРОН ОТ НЕДОСТАЮЩЕГО ЗДОРОВЬЯ:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_attack_speed_debuff"	"ЗАМЕДЛЕНИЕ СКОРОСТИ АТАКИ:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_debuff_duration"		"ДЛИТЕЛЬНОСТЬ ОТРИЦАТЕЛЬНОГО ЭФФЕКТА:"

"DOTA_Tooltip_modifier_keymaster_damned_souls"						"Master Damned Souls"
"DOTA_Tooltip_modifier_keymaster_damned_souls_debuff"				"Masted Damned Souls Debuff"

"DOTA_Tooltip_Ability_keymaster_interception"						"Master Interception"
"DOTA_Tooltip_Ability_keymaster_interception_Description"			"После активации Keymaster начинает восстанавливать свое здоровье. Восстановление здоровья уменьшается от количества вражеских героев вокруг заклинателя."
"DOTA_Tooltip_Ability_keymaster_interception_abilitycastrange"		"РАДИУС:"
"DOTA_Tooltip_Ability_keymaster_interception_duration"				"ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_Ability_keymaster_interception_hp_regen_pct"			"%ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ:"
"DOTA_Tooltip_Ability_keymaster_interception_hp_regen_decrease"		"%СНИЖЕНИЕ ВОССТАНОВЛЕНИЯ ЗДОРОВЬЯ ЗА ГЕРОЯ:"

"DOTA_Tooltip_modifier_keymaster_interception"						"Master Interception"

"DOTA_Tooltip_Ability_keymaster_dodge_mastery"						"Dodge Mastery"
"DOTA_Tooltip_Ability_keymaster_dodge_mastery_Description"			"Босс игнорирует весь урон который ему наносится с большого расстояния. Так же он увеличивает скорость своей атаки за каждый потерянный процент здоровья."
"DOTA_Tooltip_Ability_keymaster_dodge_mastery_abilitycastrange"		"РАДИУС ПОЛУЧЕНИЯ УРОНА:"
"DOTA_Tooltip_Ability_keymaster_dodge_mastery_aspeed_per_hp_pct"	"СКОРОСТЬ АТАКИ ЗА ПОТЕРЯННЫЙ ПРОЦЕНТ ЗДОРОВЬЯ:"

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\bosses\keymasters.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\bosses\possessed.txt' begin 
"boss_possessed_demon"												"Possessed Demon"
"on_boss_die_possessed"												"<font color='#58ACFA'>Possessed Demon</font> был убит"

"DOTA_Tooltip_ability_possessed_magma_trails"						"Magma Trails"
"DOTA_Tooltip_ability_possessed_magma_trails_Description"			"Possessed Demon вызывает столпы адского огня из под земли. После небольшой задержки из под земли появится столп огня, который наносит большой урон всем врагам, которые в него попадут."
"DOTA_Tooltip_ability_possessed_magma_trails_abilitycastrange"		"РАДИУС:"
"DOTA_Tooltip_ability_possessed_magma_trails_damage"				"УРОН:"
"DOTA_Tooltip_ability_possessed_magma_trails_damage_from_attack"	"%УРОН ОТ ОСНОВНОЙ АТАКИ:"
"DOTA_Tooltip_ability_possessed_magma_trails_trail_prepare"			"ВРЕМЯ ПОЯВЛЕНИЯ СТОЛПА:"
"DOTA_Tooltip_ability_possessed_magma_trails_trail_radius"			"РАДИУС СТОЛПА:"

"DOTA_Tooltip_ability_possessed_fallen_sword"						"Sword of the Fallen"
"DOTA_Tooltip_ability_possessed_fallen_sword_Description"			"Possessed Demon наносит часть урона всем врагам возле цели которую он атакует.\nС шансом %chance%%  Possessed Demon нанесет дополнительный урон при атаке, цель умрет если ее здоровье будет меньше %kill_thresshold%% , иначе на цель наложится отрицательный эффект уменьшающий весь ее исходящий урон на %damage_reduction%%  на %debuff_duration%  секунды."
"DOTA_Tooltip_ability_possessed_fallen_sword_cleave"				"%ПРОРУБАЮЩИЙ УРОН:"
"DOTA_Tooltip_ability_possessed_fallen_sword_cleave_radius"			"РАДИУС ПРОРУБАЮЩЕГО УРОНА:"
"DOTA_Tooltip_modifier_possessed_fallen_sword_debuff"				"Sword of the Fallen debuff"

"DOTA_Tooltip_ability_possessed_rebel"								"Rebel"
"DOTA_Tooltip_ability_possessed_rebel_Description"					"Каждая атака снижает броню врага на %disarmor% .\nЗа каждый потеряный процент здоровья Possessed Demon получает %status_resist_per_hp%%  сопротивление эффектам."
"DOTA_Tooltip_modifier_possessed_rebel_debuff"						"Rebel disarmor"


"DOTA_Tooltip_ability_possessed_devil_stomp"						"Devil Stomp"
"DOTA_Tooltip_ability_possessed_devil_stomp_Description"			"Possessed Demon бъет о землю, оглушая противников на %stun_duration%  секунды и нанося им %damage%  урона."
"DOTA_Tooltip_ability_possessed_devil_stomp_abilitycastrange"		"РАДИУС:"

"DOTA_Tooltip_modifier_possessed_devil_stomp"						"Devil Stomp Stun"

"DOTA_Tooltip_ability_possessed_curse"								"Curse"
"DOTA_Tooltip_ability_possessed_curse_Description"					"Possessed Demon проклинает выбранную цель, и если она не отойдет от своей позиции в начале проклятия на %run_radius%  за %run_duration%  секунды, она получит %penalty_damage_pct%%  урона от своего максимального здоровья, излечит Possessed Demon'a на полученный урон, и получит оглушение на %penalty_stun%  секунды."
"DOTA_Tooltip_modifier_possessed_curse_penalty"						"Curse Penalty"

"DOTA_Tooltip_ability_possessed_hellshield"							"Hellshield"
"DOTA_Tooltip_ability_possessed_hellshield_Description"				"При активации накладывает эффект на %duration%  секунды, который отражает %return_damage%%  назад во атакующего, а так же блокирует %damage_reduction%%  этого урона."

"DOTA_Tooltip_modifier_possessed_hellshield"						"Hellshield Damage Return"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\bosses\possessed.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\bosses\soul_guaridan.txt' begin 
"npc_aa_soul_guardian"						"Soul Guardian"

"on_boss_die_soul_guardian"					"<font color='#58ACFA'>Soul Guardian</font> был убит. Теперь любой может сменить героя на одного из богов."

"DOTA_Tooltip_Ability_soul_guardian_heroes_ring"							"Rallying Field"
"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_Description"				"Soul Guardian создает поле в течении %circle_creation_time% сек. После этого с задержкой %detanation_delay% сек. наносит всем героям внутри поля урон. Чем меньше героев находится внутри поля - тем боле будет полученый урон."
"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_circle_radius"				"РАДИУС:"
"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_base_damage"				"БАЗОВЫЙ УРОН:"
"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_damage_reduction_per_hero"	"СНИЖЕНИЕ УРОНА ЗА ГЕРОЯ:"

"DOTA_Tooltip_Ability_soul_guardian_heavy_strike"							"Heavy Strike"
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_Description"				"Оглушает основую цель атаки и отталкивает всех ее ближайших союзников, замедляя их."
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_circle_knockback_radius"	"РАДИУС ОТТАЛКИВАНИЯ:"
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_duration_stun"				"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_duration_slow"				"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_knockback_slow_pct"		"%ЗАМЕДЛЕНИЕ:"

"DOTA_Tooltip_modifier_soul_guardian_heavy_strike_stun"					"Оглушен"
"DOTA_Tooltip_modifier_soul_guardian_heavy_strike_slow"					"Замедлен"


"DOTA_Tooltip_Ability_soul_guardian_pure_heal"							"Pure Heal"
"DOTA_Tooltip_Ability_soul_guardian_pure_heal_Description"				"Излечивает часть своего здоровья и снимает с себя негативные эффекты."
"DOTA_Tooltip_Ability_soul_guardian_pure_heal_base_heal"				"БАЗОВОЕ ЛЕЧЕНИЕ:"
"DOTA_Tooltip_Ability_soul_guardian_pure_heal_heal_pct_from_max_hp"		"%ЛЕЧЕНИЕ ОТ МАКС.ЗДОРОВЬЯ:"

"DOTA_Tooltip_Ability_soul_guardian_damage_steal"						"Weakness of Heroes"
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_Description"			"В течении %duration% секунд снижает урон всех ближайших врагов."
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_radius"				"РАДИУС:"
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_delay_for_start"		"ЗАДЕРЖКА ДО АКТИВАЦИИ УМЕНИЯ:"
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_damage_per_second_tootip"		"СНИЖЕНИЕ УРОНА В СЕК:"
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_debuff_duration"				"ДЛИТЕЛЬНОСТЬ:"

"DOTA_Tooltip_modifier_soul_guardian_damage_steal"				"Weakness of Heroes"
"DOTA_Tooltip_modifier_soul_guardian_damage_steal_Description"	"Урон снижен на %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%"

"DOTA_Tooltip_Ability_soul_guardian_holy_rage"						"Holy Rage"
"DOTA_Tooltip_Ability_soul_guardian_holy_rage_Description"			"Soul Guardian впадает в святую ярость, увеличивая свои скорость атаки и сопротивление эффектам. Эффект спадет через %max_duration% сек. или при получении некоторого урона (%damage_for_purge_base% + %damage_for_purge_pct_from_max_hp%%  от максимального количества здоровья)"
"DOTA_Tooltip_Ability_soul_guardian_holy_status_resist_pct"			"СОПРОТИВЛЕНИЕ ЭФФЕКТАМ:"
"DOTA_Tooltip_Ability_soul_guardian_holy_rage_attack_speed"			"СКОРОСТЬ АТАКИ:"

"DOTA_Tooltip_modifier_soul_guardian_holy_rage"						"Holy Rage"
"DOTA_Tooltip_modifier_soul_guardian_holy_rage_Description"			"Скорость атаки и сопротивление эффектам увеличены. Необходимо нанести %dMODIFIER_PROPERTY_TOOLTIP% урона для сброса эффекта"


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\bosses\soul_guaridan.txt' end

"DOTA_Tooltip_ability_item_mage_crit"									"Mage Crit"

		"DOTA_Tooltip_ability_item_mage_crit_bonus_intellect"					"+$int"
		"DOTA_Tooltip_ability_item_mage_crit_bonus_strength"					"+$str"
		"DOTA_Tooltip_ability_item_mage_crit_bonus_agility"					"+$agi"
		"DOTA_Tooltip_ability_item_mage_crit_armor"							"+$armor"
		"DOTA_Tooltip_ability_item_mage_crit_health_regen"					"+$hp_regen"
		"DOTA_Tooltip_ability_item_mage_crit_mana_regen_amp"					"%+к усилению восстановления маны"
		"DOTA_Tooltip_ability_item_mage_crit_spell_amplify"					"%+$spell_amp"
		"DOTA_Tooltip_ability_item_mage_crit_lifesteal_amplify"				"%+к усилению вампиризма от заклинаний"

		"DOTA_Tooltip_ability_item_mage_crit_Description"						"<h1>Пассивное: Magical Crit</h1> Каждое заклинание может с вероятностью в %chance%%% нанести %spell_damage_crit%%% урона."
		"DOTA_Tooltip_ability_item_mage_crit_Lore"							"Магический меч, скованный из редких кристаллов, находит слабые места в разуме врага."


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\bosses\traveler.txt' begin 
"npc_boss_travaler"												"Traveler"

"die_npc_boss_travaler"											"Кто то завалил <font color='#58ACFA'>Путешественника</font>!"

"DOTA_Tooltip_ability_travaler_kraken"							"Traveling Protection"
"DOTA_Tooltip_ability_travaler_kraken_Description"				"Снижает входящий урон, а когда полученный урон достигает определенного предела, сбрасывает все отрицательные эффекты."
"DOTA_Tooltip_ability_travaler_kraken_damage_cleanse"			"ГРАНИЦА УРОНА:"

"DOTA_Tooltip_ability_travaler_manaburn"						"Mana Burn"
"DOTA_Tooltip_ability_travaler_manaburn_Description"			"Сжигает ману врага и наносит урон с каждым ударом."
"DOTA_Tooltip_ability_travaler_manaburn_mana_per_hit"			"СЖИГАЕТ МАНЫ ЗА УДАР:"

"DOTA_Tooltip_ability_travaler_stun"							"Врата Миров"
"DOTA_Tooltip_ability_travaler_stun_Description"				"Путник трижды разрывает землю, каждый взрыв покрывает всё большую область. Каждый взрыв оглушает врагов и наносит урон, зависящий от их максимального здоровья. Выйди из меток, чтобы избежать взрыва!"
"DOTA_Tooltip_Ability_travaler_stun_SummaryDescription"			"Стан с телеграфом по области."
"DOTA_Tooltip_ability_travaler_stun_damage_pct"					"%УРОН ОТ ХП:"
"DOTA_Tooltip_ability_travaler_stun_duration"					"ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_travaler_stun_radius"						"РАДИУС:"
"DOTA_Tooltip_modifier_travaler_stun"							"ОГЛУШЕН"

"DOTA_Tooltip_ability_travaler_rift_wall"						"Разлом Измерений"
"DOTA_Tooltip_ability_travaler_rift_wall_Description"				"Путник разрывает землю в сторону случайного врага: поле из 8 разломов взрывается в шахматном порядке, нанося урон и оглушая. После взрыва остаются трещины, ранящие всех, кто в них стоит."
"DOTA_Tooltip_Ability_travaler_rift_wall_SummaryDescription"		"Линия взрывающихся разломов."
"DOTA_Tooltip_ability_travaler_rift_wall_damage_pct"				"%УРОН ОТ ХП:"
"DOTA_Tooltip_ability_travaler_rift_wall_stun_duration"			"ДЛИТЕЛЬНОСТЬ СТАНА:"

"DOTA_Tooltip_ability_travaler_shift"							"Сдвиг Миров"
"DOTA_Tooltip_ability_travaler_shift_Description"				"Путник разрывает реальность: враги, стоящие далеко от него, получают метки и телепортируются в случайные места вдали от его логова, получая урон и замедление. Сдвиг повторяется серией волн."
"DOTA_Tooltip_Ability_travaler_shift_SummaryDescription"			"Серия телепортаций врагов."

"DOTA_Tooltip_ability_travaler_fury"							"Ярость Путника"
"DOTA_Tooltip_ability_travaler_fury_Description"				"Путник, теряя здоровье, становится яростнее.\nНиже 75% здоровья он мгновенно убивает иллюзии, пытающиеся его атаковать, и получает 800 урона атаки, 250 скорости атаки, БАТ 0.4 и true strike.\nНиже 30% здоровья босс получает на 45% меньше урона от всех атак."
"DOTA_Tooltip_Ability_travaler_fury_SummaryDescription"			"Ярость при потере здоровья."

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\bosses\traveler.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\!empty.txt' begin 

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\!empty.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\lycan.txt' begin 
"npc_dota_lycan_wolf5"												"Lycan Wolf"
"npc_dota_lycan_wolf6"												"Lycan Wolf"
"npc_dota_lycan_wolf7"												"Lycan Wolf"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\lycan.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\ru\creeps\pet_hulk.txt' begin 
"npc_aa_ancient_hulk"											"Ancient Hulk"
"DOTA_Tooltip_ability_pet_ancient_hulk_hammer"					"Hulk hammer"
"DOTA_Tooltip_ability_pet_ancient_hulk_hammer_Description"		"Стан выбранную цель и всех в радиусе вокруг нее."
"DOTA_Tooltip_ability_pet_ancient_hulk_hammer_bolt_stun_duration"	"СТАН:"
"DOTA_Tooltip_ability_pet_ancient_hulk_hammer_bolt_aoe"				"РАДИУС:"
"DOTA_Tooltip_modifier_pet_hammer_stun"								"STUNNED"

