"lang"
{
	"Language"		"English"
"DOTA_Tooltip_Ability_keymaster_shadow_support_Description"			"Keymaster is returning incoming damage as pure."
"DOTA_Tooltip_Ability_keymaster_shadow_support_return_damage"		"%DAMAGE RETURN:"
"DOTA_Tooltip_Ability_keymaster_shadow_support_duration"			"DURATION:"

"DOTA_Tooltip_modifier_keymaster_shadow_support"					"Master damage return"

"DOTA_Tooltip_Ability_keymaster_damned_souls"						"Master Damned Souls"
"DOTA_Tooltip_Ability_keymaster_damned_souls_Description"			"After cast Keymaster starts launch energy projectiles into nearby enemy that deal damage and decreasing target attack speed."
"DOTA_Tooltip_Ability_keymaster_damned_souls_abilitycastrange"		"RADIUS:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_interval"				"PROJECTILE INTERVAL:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_soul_count"			"PROJECTILE COUNT:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_projectile_speed"		"PROJECTILE SPEED:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_damage"				"DAMAGE:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_damage_from_lost_hp"	"DAMAGE FROM MISSING HEALTH:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_attack_speed_debuff"	"ATTACK SPEED SLOW:"
"DOTA_Tooltip_Ability_keymaster_damned_souls_debuff_duration"		"DEBUFF DURATION:"

"DOTA_Tooltip_modifier_keymaster_damned_souls"						"Master Damned Souls"
"DOTA_Tooltip_modifier_keymaster_damned_souls_debuff"				"Masted Damned Souls Debuff"

"DOTA_Tooltip_Ability_keymaster_interception"						"Master Interception"
"DOTA_Tooltip_Ability_keymaster_interception_Description"			"Keymaster starts regenerate. Regenerations is decreased by another heroes around Keymaster."
"DOTA_Tooltip_Ability_keymaster_interception_abilitycastrange"		"RADIUS:"
"DOTA_Tooltip_Ability_keymaster_interception_duration"				"DURATION:"
"DOTA_Tooltip_Ability_keymaster_interception_hp_regen_pct"			"%HP REGENERATION:"
"DOTA_Tooltip_Ability_keymaster_interception_hp_regen_decrease"		"%REGENERATION DECREASE PER HERO:"

"DOTA_Tooltip_modifier_keymaster_interception"						"Master Interception"

"DOTA_Tooltip_Ability_keymaster_dodge_mastery"						"Dodge Mastery"
"DOTA_Tooltip_Ability_keymaster_dodge_mastery_Description"			"Boss ignores all damage that was recived from a far range.\Boss increase himself attack speed for every missing health pct."
"DOTA_Tooltip_Ability_keymaster_dodge_mastery_abilitycastrange"		"ALLOW DAMAGE RADIUS:"
"DOTA_Tooltip_Ability_keymaster_dodge_mastery_aspeed_per_hp_pct"	"ATTACK SPEED FOR MISSING HEALTH PERCENT:"

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\keymasters.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\possessed.txt' begin 
"boss_possessed_demon"													"Possessed Demon"
"on_boss_die_possessed"												"Somebody killed the <font color='#58ACFA'>Possessed demon</font>!"

"DOTA_Tooltip_ability_possessed_magma_trails"						"Magma Trails"
"DOTA_Tooltip_ability_possessed_magma_trails_Description"			"Possessed Demon summons hellfire pilliars that deals massive damage after small delay."
"DOTA_Tooltip_ability_possessed_magma_trails_abilitycastrange"		"RADIUS:"
"DOTA_Tooltip_ability_possessed_magma_trails_damage"				"DAMAGE:"
"DOTA_Tooltip_ability_possessed_magma_trails_damage_from_attack"	"%DAMAGE FROM ATTACK:"
"DOTA_Tooltip_ability_possessed_magma_trails_trail_prepare"			"PILLIAR DELAY:"
"DOTA_Tooltip_ability_possessed_magma_trails_trail_radius"			"PILLIAR RADIUS:"

"DOTA_Tooltip_ability_possessed_fallen_sword"						"Sword of the Fallen"
"DOTA_Tooltip_ability_possessed_fallen_sword_Description"			"Possessed Demon deals some damage around attacked target.\nWith chance %chance%%  Possessed Demon deals additional damage with him attack and kill target if target health will be lower then %kill_thresshold%% or applies debuff that decreasing outcoming damage for %damage_reduction%%  for %debuff_duration%  seconds if target was alive."
"DOTA_Tooltip_ability_possessed_fallen_sword_cleave"				"%CLEAVE DAMAGE:"
"DOTA_Tooltip_ability_possessed_fallen_sword_cleave_radius"			"CLEAVE RADIUS:"
"DOTA_Tooltip_modifier_possessed_fallen_sword_debuff"				"Sword of the Fallen debuff"

"DOTA_Tooltip_ability_possessed_rebel"								"Rebel"
"DOTA_Tooltip_ability_possessed_rebel_Description"					"Every attack decrease enemy armor for %disarmor%.\nFor every missed health percent Possessed Demon gets %status_resist_per_hp%%  status resistance."
"DOTA_Tooltip_modifier_possessed_rebel_debuff"						"Rebel disarmor"


"DOTA_Tooltip_ability_possessed_devil_stomp"						"Devil Stomp"
"DOTA_Tooltip_ability_possessed_devil_stomp_Description"			"Possessed Demon stomps the earth, stunning around enemies for %stun_duration% seconds and deal %damage% damage."
"DOTA_Tooltip_ability_possessed_devil_stomp_abilitycastrange"		"RADIUS:"

"DOTA_Tooltip_modifier_possessed_devil_stomp"						"Devil Stomp Stun"

"DOTA_Tooltip_ability_possessed_curse"								"Curse"
"DOTA_Tooltip_ability_possessed_curse_Description"					"Possessed Demon curses target, and after %run_duration% deal %penalty_damage_pct%%  damage from max health, and heal Possessed Demon if target is closer than %run_radius%% at start position. Also stuns cursed unit for %penalty_stun% seconds."
"DOTA_Tooltip_modifier_possessed_curse_penalty"						"Curse Penalty"

"DOTA_Tooltip_ability_possessed_hellshield"							"Hellshield"
"DOTA_Tooltip_ability_possessed_hellshield_Description"				"At activation applies effect that return %return_damage%%  back to attacker and block %damage_reduction%%  damage for %duration% seconds."

"DOTA_Tooltip_modifier_possessed_hellshield"						"Hellshield Damage Return"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\possessed.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\soul_guardian.txt' begin 
"npc_aa_soul_guardian"														"Soul Guardian"

"on_boss_die_soul_guardian"													"Somebody killed the <font color='#58ACFA'>Soul Guardian</font>! Anyone can now change their heroes into gods."

"DOTA_Tooltip_Ability_soul_guardian_heroes_ring"							"Rallying Field"
"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_Description"				"Soul Guardian create field in %circle_creation_time% seconds. After delay in %detanation_delay% seconds deal damage to all heroes inside field. Damage depends on hero units inside field( less heroes - more damage )"
"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_circle_radius"				"RADIUS:"
"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_base_damage"				"BASE DAMAGE:"
"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_damage_reduction_per_hero"	"DAMAGE DECRASE PER HERO:"

"DOTA_Tooltip_Ability_soul_guardian_heavy_strike"							"Heavy Strike"
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_Description"				"Stuns main attack target, push away and slow another units around target."
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_circle_knockback_radius"	"PUSH RADIUS:"
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_duration_stun"				"STUN DURATION:"
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_duration_slow"				"SLOW DURATION:"
"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_knockback_slow_pct"		"%SLOW:"

"DOTA_Tooltip_modifier_soul_guardian_heavy_strike_stun"						"Stunned"
"DOTA_Tooltip_modifier_soul_guardian_heavy_strike_slow"						"Slowed"

"DOTA_Tooltip_Ability_soul_guardian_pure_heal"								"Pure Heal"
"DOTA_Tooltip_Ability_soul_guardian_pure_heal_Description"					"Soul Guardian heal himself and dispels negative effects."
"DOTA_Tooltip_Ability_soul_guardian_pure_heal_base_heal"					"BASE HEAL:"
"DOTA_Tooltip_Ability_soul_guardian_pure_heal_heal_pct_from_max_hp"			"%HEAL FROM MAX HP:"

"DOTA_Tooltip_Ability_soul_guardian_damage_steal"							"Weakness of Heroes"
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_Description"				"For a %duration% seconds decrasing damage of all around heroes."
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_radius"					"RADIUS:"
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_delay_for_start"			"START DELAY:"
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_damage_per_second_tootip"	"DAMAGE DECREASING:"
"DOTA_Tooltip_Ability_soul_guardian_damage_steal_debuff_duration"			"DURATION:"

"DOTA_Tooltip_modifier_soul_guardian_damage_steal"							"Weakness of Heroes"
"DOTA_Tooltip_modifier_soul_guardian_damage_steal_Description"				"Damage decreased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% ."

"DOTA_Tooltip_Ability_soul_guardian_holy_rage"								"Holy Rage"
"DOTA_Tooltip_Ability_soul_guardian_holy_rage_Description"					"Soul Guardian fall in holy rage, increasing him attack speed and status resistance. Effect is purged after %max_duration% seconds. or after reciving  damage (%damage_for_purge_base% + %damage_for_purge_pct_from_max_hp%%  from max health)."
"DOTA_Tooltip_Ability_soul_guardian_holy_status_resist_pct"					"STATUS RESIST:"
"DOTA_Tooltip_Ability_soul_guardian_holy_rage_attack_speed"					"ATTACK SPEED:"

"DOTA_Tooltip_modifier_soul_guardian_holy_rage"								"Holy Rage"
"DOTA_Tooltip_modifier_soul_guardian_holy_rage_Description"					"Attack speed and status resist is increased. Need to deal %dMODIFIER_PROPERTY_TOOLTIP% damage to purge that effect."


// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\soul_guardian.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\traveler.txt' begin 
"npc_boss_travaler"												"Traveler"

"die_npc_boss_travaler"											"Somebody killed the <font color='#58ACFA'>Traveler</font>!"
	
"DOTA_Tooltip_ability_travaler_kraken"							"Traveling Protection"
"DOTA_Tooltip_ability_travaler_kraken_Description"				"Removes negative status effects if the damage taken crosses a threshold."
"DOTA_Tooltip_ability_travaler_kraken_damage_cleanse"			"DAMAGE THRESHOLD:"

"DOTA_Tooltip_ability_travaler_manaburn"						"Mana Burn"
"DOTA_Tooltip_ability_travaler_manaburn_Description"			"Burns an opponent's mana on each attack."
"DOTA_Tooltip_ability_travaler_manaburn_mana_per_hit"			"MANA BURNED PER HIT:"

"DOTA_Tooltip_ability_travaler_stun"							"Travaler Stun"
"DOTA_Tooltip_ability_travaler_stun_Description"				"Travaler stuns everybody in radius and deal damage that depends of max HP targets."
"DOTA_Tooltip_ability_travaler_stun_damage_pct"					"%DAMAGE:"
"DOTA_Tooltip_ability_travaler_stun_duration"					"DURATION:"
"DOTA_Tooltip_ability_travaler_stun_radius"						"RADIUS:"

"DOTA_Tooltip_ability_travaler_bash"							"Overpower of Travaler"
"DOTA_Tooltip_ability_travaler_bash_Description"				"Travaler can see the enemy's weakness', and he uses it against enemy. Stun the enemy and deal critical damage and deal damage that depends of max HP targets."
"DOTA_Tooltip_ability_travaler_bash_chance"						"%CHANCE:"
"DOTA_Tooltip_ability_travaler_bash_bash_time"					"STUN DURATION:"
"DOTA_Tooltip_ability_travaler_bash_crit"						"%CRITICAL DAMAGE:"
"DOTA_Tooltip_ability_travaler_bash_damage_pct"					"%MAX HP DAMAGE:"
"DOTA_Tooltip_modifier_travaler_bash_stun"						"STUNNED"

"DOTA_Tooltip_ability_travaler_fury"							"Travaler Fury"
"DOTA_Tooltip_ability_travaler_fury_Description"				"Bosses instantly kill all of the illusions that trying to attack him.\nWhen health of the travaler will descend lower 50 percent boss gets 650 attack, 250 attack speed, BAT 0.7, true strike.\nWhen health of the travaler will descend lower 25 percent boss get 45 percent resist to all attacks."

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\bosses\traveler.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\!empty.txt' begin 

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\!empty.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\enigma.txt' begin 
"npc_eidolon_1" "Enigma Eidelon"
"npc_eidolon_2" "Enigma Eidelon"
"npc_eidolon_3" "Enigma Eidelon"
"npc_eidolon_4" "Enigma Eidelon"
"npc_eidolon_5" "Enigma Eidelon"
"npc_eidolon_6" "Enigma Eidelon"
"npc_eidolon_7" "Enigma Eidelon"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\enigma.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\lycan.txt' begin 
"npc_dota_lycan_wolf5"												"Lycan Wolf"
"npc_dota_lycan_wolf6"												"Lycan Wolf"
"npc_dota_lycan_wolf7"												"Lycan Wolf"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\lycan.txt' end

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\pet_hulk.txt' begin 
"npc_aa_ancient_hulk"												"Ancient Hulk"

"DOTA_Tooltip_ability_pet_ancient_hulk_hammer"						"Hulk hammer"
"DOTA_Tooltip_ability_pet_ancient_hulk_hammer_Description"			"Throw a Hammer of Might at the targeted unit, stunning every enemy within the radius. Can be dodged."
"DOTA_Tooltip_ability_pet_ancient_hulk_hammer_bolt_stun_duration"	"STUN:"
"DOTA_Tooltip_ability_pet_ancient_hulk_hammer_bolt_aoe"				"RADIUS:"
"DOTA_Tooltip_modifier_pet_hammer_stun"								"STUNNED"

"DOTA_Tooltip_ability_pet_ancient_hulk_blink"						"Blink"
"DOTA_Tooltip_ability_pet_ancient_hulk_blink_Description"			"Short distance teleportation that allows the pet to move in and out of combat."
"DOTA_Tooltip_ability_pet_ancient_hulk_blink_blink_range"			"RANGE:"

"DOTA_Tooltip_ability_pet_ancient_hulk_invis"						"Shadow Hulk"
"DOTA_Tooltip_ability_pet_ancient_hulk_invis_Description"			"Grants invisibility and increased movespeed."
"DOTA_Tooltip_ability_pet_ancient_hulk_invis_duration"				"DURATION:"
"DOTA_Tooltip_ability_pet_ancient_hulk_invis_bonus_movespeed"		"%MOVE SPEED:"
"DOTA_Tooltip_modifier_pet_hulk_invis"								"INVISIBLE"

"DOTA_Tooltip_ability_pet_ancient_hulk_desolation"					"Hulk Desolation"
"DOTA_Tooltip_ability_pet_ancient_hulk_desolation_Description"		"Attacks reduce the target's armor."
"DOTA_Tooltip_ability_pet_ancient_hulk_desolation_bonus_armor"		"ARMOR:"
"DOTA_Tooltip_ability_pet_ancient_hulk_desolation_duration"			"DURATION:"

"DOTA_Tooltip_modifier_pet_ah_disarmor"								"ARMOR REDUCED"
"DOTA_Tooltip_modifier_pet_great_cleave"							"Cleave Damage Percent       60"
// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\pet_hulk.txt' end

"DOTA_Tooltip_Ability_item_harpoon_3" "Harpoon"
		"DOTA_Tooltip_Ability_item_harpoon_3_Description"					"<h1>Active: Draw Forth</h1> When targeting an enemy, fire a harpoon at them, that pulls you and the target closer together, up to %pull_distance_pct%%% of the distance between you and your target. If the caster is melee, the hero and target are always pulled to within melee distance of each other.\n\n<h1>Passive: Echo Strike</h1> Causes melee attacks to attack twice in quick succession. The double attacks apply a %movement_slow%%% movement slow for %slow_duration% seconds on each strike. Echo Strike cooldown: %passive_cooldown%s"
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_health"					"+$health"
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_agility"					"+$agi"
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_intellect"					"+$int"
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_attack_speed"				"+$attack"
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_damage"					"+$damage"
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_strength"              	"+$str"
		"DOTA_Tooltip_Ability_item_harpoon_3_bonus_mana_regen"             			"+$mana_regen"
		"DOTA_Tooltip_modifier_item_harpoon_3_pull"							"Harpoon"
		"DOTA_Tooltip_modifier_item_harpoon_3_pull_Description"				"Being pulled by Harpoon."
		"DOTA_Tooltip_modifier_item_harpoon_3_slow"							"Harpoon"
		"DOTA_Tooltip_modifier_item_harpoon_3_slow_Description"				"Movement slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_item_harpoon_3_internal_cd"					"Harpoon Echo Strike"
		"DOTA_Tooltip_modifier_item_harpoon_3_internal_cd_Description"		"Echo Strike is on cooldown."

        "DOTA_Tooltip_Ability_item_harpoon_2" "Harpoon"
		"DOTA_Tooltip_Ability_item_harpoon_2_Description"					"<h1>Active: Draw Forth</h1> When targeting an enemy, fire a harpoon at them, that pulls you and the target closer together, up to %pull_distance_pct%%% of the distance between you and your target. If the caster is melee, the hero and target are always pulled to within melee distance of each other.\n\n<h1>Passive: Echo Strike</h1> Causes melee attacks to attack twice in quick succession. The double attacks apply a %movement_slow%%% movement slow for %slow_duration% seconds on each strike. Echo Strike cooldown: %passive_cooldown%s"
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_health"					"+$health"
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_agility"					"+$agi"
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_intellect"					"+$int"
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_attack_speed"				"+$attack"
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_damage"					"+$damage"
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_strength"              	"+$str"
		"DOTA_Tooltip_Ability_item_harpoon_2_bonus_mana_regen"             			"+$mana_regen"
		"DOTA_Tooltip_modifier_item_harpoon_2_pull"							"Harpoon"
		"DOTA_Tooltip_modifier_item_harpoon_2_pull_Description"				"Being pulled by Harpoon."
		"DOTA_Tooltip_modifier_item_harpoon_2_slow"							"Harpoon"
		"DOTA_Tooltip_modifier_item_harpoon_2_slow_Description"				"Movement slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_item_harpoon_2_internal_cd"					"Harpoon Echo Strike"
		"DOTA_Tooltip_modifier_item_harpoon_2_internal_cd_Description"		"Echo Strike is on cooldown."

// File 'E:\projects\AngelArenaReborn\Repos\Angel Arena\configs\localization\en\creeps\pet_mage.txt' begin 
"npc_aa_ancient_mage"													"Ancient Mage"

"DOTA_Tooltip_ability_pet_ancient_mage_silence"							"Silence"
"DOTA_Tooltip_ability_pet_ancient_mage_silence_Description"				"Slow and silence the enemy. The target also takes more damage."
"DOTA_Tooltip_ability_pet_ancient_mage_silence_slow_percent"			"%SLOW:"
"DOTA_Tooltip_ability_pet_ancient_mage_silence_duration"				"DURATION:"
"DOTA_Tooltip_ability_pet_ancient_mage_silence_bonus_take_damage"		"%DAMAGE INCREASED:"
"DOTA_Tooltip_modifier_pet_ancient_mage_silence"						"Silenced"

